B00, 0
B01, 0
B02, 0
B03, 0
B04, 2
B11, Blotteritem, {'type': 'Trade', 'time': 2358.0999999981454, 'price': 95.0, 'party1': 'B11', 'party2': 'S08', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 2440.4399999980706, 'price': 95.0, 'party1': 'B11', 'party2': 'S01', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 2511.8399999980056, 'price': 95.0, 'party1': 'B11', 'party2': 'S00', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 2560.5199999979613, 'price': 95.0, 'party1': 'B11', 'party2': 'S06', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 2643.7999999978856, 'price': 77.0, 'party1': 'B11', 'party2': 'S06', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 2701.699999997833, 'price': 95.0, 'party1': 'B11', 'party2': 'S01', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 2927.7999999976273, 'price': 95.0, 'party1': 'B11', 'party2': 'S00', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 2944.1799999976124, 'price': 95.0, 'party1': 'B11', 'party2': 'S05', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 3061.079999997506, 'price': 95.0, 'party1': 'B11', 'party2': 'S08', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 3143.839999997431, 'price': 95.0, 'party1': 'B11', 'party2': 'S00', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 3185.299999997393, 'price': 79, 'party1': 'B11', 'party2': 'S02', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 3223.1599999973587, 'price': 95.0, 'party1': 'B11', 'party2': 'S00', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 3304.7399999972845, 'price': 77.0, 'party1': 'B11', 'party2': 'S06', 'qty': 1}
B11, Blotteritem, {'type': 'Trade', 'time': 3338.6599999972536, 'price': 95.0, 'party1': 'B11', 'party2': 'S01', 'qty': 1}
